name	email
Marcel S. Jetton	MarcelSJetton@armyspy.com
Taryn A. Smith	TarynASmith@teleworm.us
Mary L. Calhoun	MaryLCalhoun@armyspy.com
Luann J. Harvey	LuannJHarvey@teleworm.us
Yvette C. Gomez	YvetteCGomez@dayrep.com
Edmond S. Long	EdmondSLong@teleworm.us
Karen M. Moss	KarenMMoss@jourrapide.com
Patrick J. McCormick	PatrickJMcCormick@teleworm.us
Rita J. Simpson	RitaJSimpson@teleworm.us
Melissa T. Haley	MelissaTHaley@armyspy.com
Timothy D. Silvernail	TimothyDSilvernail@jourrapide.com
Carl M. Mota	CarlMMota@jourrapide.com
James H. Smith	JamesHSmith@teleworm.us
Kelley A. Pope	KelleyAPope@jourrapide.com
Christy W. Beach	ChristyWBeach@armyspy.com
Jessica R. Nguyen	JessicaRNguyen@rhyta.com
William L. Pickle	WilliamLPickle@rhyta.com
Richard H. Fralick	RichardHFralick@rhyta.com
Angela F. Cowan	AngelaFCowan@armyspy.com
Brenda B. Milazzo	BrendaBMilazzo@jourrapide.com
Frank M. Crawford	FrankMCrawford@teleworm.us
Carol A. Phillips	CarolAPhillips@armyspy.com
Frank K. Bottomley	FrankKBottomley@jourrapide.com
Tamra R. Stock	TamraRStock@dayrep.com
Adam F. Herring	AdamFHerring@rhyta.com
Karina D. Kizer	KarinaDKizer@jourrapide.com
Douglas M. Vang	DouglasMVang@rhyta.com
Bertha J. Robinson	BerthaJRobinson@dayrep.com
Angela T. Johnson	AngelaTJohnson@armyspy.com
Randall R. Moseley	RandallRMoseley@armyspy.com
Gloria M. Lewis	GloriaMLewis@dayrep.com
Tara M. Bowers	TaraMBowers@dayrep.com
Robert D. Tews	RobertDTews@dayrep.com
Christina H. Thomas	ChristinaHThomas@rhyta.com
Carol R. Alfaro	CarolRAlfaro@jourrapide.com
Catherine D. Harris	CatherineDHarris@teleworm.us
Barbara M. Johnson	BarbaraMJohnson@teleworm.us
Stephen T. Mahon	StephenTMahon@dayrep.com
Gayle C. Stanton	GayleCStanton@jourrapide.com
Rolande B. Brown	RolandeBBrown@jourrapide.com
Jim W. Soto	JimWSoto@jourrapide.com
Eddie W. Barnes	EddieWBarnes@dayrep.com
Leo K. Lary	LeoKLary@dayrep.com
Adrienne J. George	AdrienneJGeorge@teleworm.us
Isa C. Foster	IsaCFoster@jourrapide.com
Kevin A. Wimer	KevinAWimer@jourrapide.com
Lynn T. Jones	LynnTJones@armyspy.com
Viola S. Young	ViolaSYoung@dayrep.com
Sharon P. Stapleton	SharonPStapleton@rhyta.com
Lillie J. Bader	LillieJBader@teleworm.us
Earl N. Pryor	EarlNPryor@teleworm.us
Cheryl E. Alexander	CherylEAlexander@jourrapide.com
Robert G. Brown	RobertGBrown@dayrep.com
Linda M. Hartley	LindaMHartley@armyspy.com
Jodi M. Raleigh	JodiMRaleigh@rhyta.com
Jo J. Owens	JoJOwens@teleworm.us
John D. Carranza	JohnDCarranza@armyspy.com
Brenda H. Sanchez	BrendaHSanchez@teleworm.us
Jessica B. Lovell	JessicaBLovell@rhyta.com
Jo J. Squires	JoJSquires@rhyta.com
Dennis N. Wysocki	DennisNWysocki@jourrapide.com
Michael V. Dyer	MichaelVDyer@dayrep.com
Robert J. Sullivan	RobertJSullivan@armyspy.com
Cherry R. Taylor	CherryRTaylor@teleworm.us
Esther A. Palko	EstherAPalko@dayrep.com
Kaye R. Murray	KayeRMurray@rhyta.com
Jenny W. Albert	JennyWAlbert@teleworm.us
Bradley M. Durst	BradleyMDurst@jourrapide.com
Anna E. Stead	AnnaEStead@teleworm.us
Betty S. Luna	BettySLuna@jourrapide.com
Bill F. Bradley	BillFBradley@jourrapide.com
Harry T. King	HarryTKing@teleworm.us
David N. Johnstone	DavidNJohnstone@jourrapide.com
Devin S. Pittman	DevinSPittman@dayrep.com
Dylan C. Compo	DylanCCompo@armyspy.com
Christopher P. Wood	ChristopherPWood@armyspy.com
Daniel K. Smith	DanielKSmith@jourrapide.com
Susan R. Wood	SusanRWood@armyspy.com
Shanda G. Tolentino	ShandaGTolentino@armyspy.com
Renee J. McGhee	ReneeJMcGhee@rhyta.com
Ali S. Watson	AliSWatson@jourrapide.com
Stephen J. McCormick	StephenJMcCormick@armyspy.com1
Carolyn G. Price	CarolynGPrice@dayrep.com
Gerald J. Cunningham	GeraldJCunningham@armyspy.com
Doreen A. Edmondson	DoreenAEdmondson@teleworm.us
Marion J. Garza	MarionJGarza@teleworm.us
Thomas M. Stump	ThomasMStump@dayrep.com
Dawn G. Morales	DawnGMorales@jourrapide.com
Joe C. Auld	JoeCAuld@dayrep.com
Barbara P. Brown	BarbaraPBrown@dayrep.com
Cynthia C. Jackson	CynthiaCJackson@rhyta.com
Shirley E. Pannell	ShirleyEPannell@armyspy.com
Kira W. Richardson	KiraWRichardson@teleworm.us
Patricia R. Byrd	PatriciaRByrd@teleworm.us
Iola J. Adams	IolaJAdams@dayrep.com
Sandra C. Cook	SandraCCook@teleworm.us
Linda V. Becker	LindaVBecker@rhyta.com
Ronnie G. Towler	RonnieGTowler@jourrapide.com
Gonzalo R. Rock	GonzaloRRock@jourrapide.com
Frank R. Hunger	FrankRHunger@teleworm.us
